19.37,106,9.26,0.84,1,16
19.39,100,9.38,0.81,1,16
19.42,92,9.02,0.76,1,16
19.47,65,9.81,0.64,1,16
19.49,58,9.33,0.72,1,16
19.51,49,8.98,0.83,1,16
19.58,31,10.14,1.54,2,16
19.60,28,10.43,1.92,2,16
19.62,23,10.98,2.19,2,16
19.68,18,13.13,2.39,2,16
19.70,18,13.29,2.92,2,16
19.72,18,13.58,3.08,2,16
19.78,15,17.84,4.17,2,16
19.80,14,16.03,4.56,2,16
19.82,10,13.87,3.95,2,16
19.88,20,4.78,0.83,2,16
19.90,20,3.31,0.62,2,16
19.93,25,3.20,2.40,2,16
19.98,18,4.33,4.19,2,16
20.00,20,6.25,4.81,2,16
20.03,14,7.72,5.22,2,16
20.08,15,14.41,5.66,2,16
20.11,10,16.79,5.32,2,16
20.13,14,16.99,5.14,2,16
20.18,10,19.58,3.89,2,16
20.21,18,16.49,3.13,2,16
20.23,27,16.06,2.42,2,16
20.28,111,17.09,2.40,2,16
20.30,126,16.16,2.80,3,16
20.32,138,17.02,3.00,3,16
20.39,146,8.04,2.27,3,16
20.41,145,8.64,1.36,0,17
20.43,145,9.28,0.69,0,17
20.49,132,9.93,0.61,0,17
20.51,128,9.52,0.73,0,17
20.53,121,8.59,0.62,0,17
20.59,112,9.51,0.60,1,17
20.61,101,9.72,0.62,1,17
20.63,96,9.69,0.77,1,17
20.69,59,9.36,1.00,1,17
20.71,57,9.71,1.21,1,17
20.74,39,9.45,1.50,1,17
20.79,28,10.44,1.90,2,17
20.81,31,11.82,2.12,2,17
20.84,28,13.10,2.04,2,17
20.89,19,12.88,3.20,2,17
20.92,20,14.31,3.38,2,17
20.94,18,16.64,3.28,2,17
21.00,17,14.00,4.55,2,17
21.02,14,11.25,3.31,2,17
21.04,11,8.67,2.10,2,17
21.10,17,4.25,2.23,2,17
21.12,18,3.74,3.03,2,17
21.14,19,3.96,3.40,2,17
21.20,18,7.36,5.17,2,17
21.22,16,7.10,5.51,2,17
21.25,15,9.42,5.87,2,17
21.30,12,17.79,6.28,2,17
21.32,12,20.18,5.88,2,17
21.34,12,22.52,5.27,2,17
21.41,13,15.04,1.93,2,17
21.43,32,12.76,1.05,2,17
